Date,Anomaly
195001,-0.2
195002,-0.21
195003,-0.16
195004,-0.16
195005,-0.13
195006,-0.11
195007,-0.1
195008,-0.1
195009,-0.1
195010,-0.11
195011,-0.12
195012,-0.13
195101,-0.32
195102,-0.35
195103,-0.28
195104,-0.25
195105,-0.19
195106,-0.15
195107,-0.13
195108,-0.1
195109,-0.07
195110,-0.05
195111,-0.05
195112,-0.03
195201,0.15
195202,0.13
195203,0.08
195204,0.08
195205,0.07
195206,0.06
195207,0.06
195208,0.06
195209,0.06
195210,0.06
195211,0.05
195212,0.04
195301,0.09
195302,0.13
195303,0.14
195304,0.17
195305,0.17
195306,0.17
195307,0.15
195308,0.13
195309,0.12
195310,0.12
195311,0.11
195312,0.1
195401,-0.17
195402,-0.11
195403,-0.12
195404,-0.13
195405,-0.13
195406,-0.13
195407,-0.12
195408,-0.12
195409,-0.12
195410,-0.11
195411,-0.09
195412,-0.1
195501,0.13
195502,-0.03
195503,-0.12
195504,-0.14
195505,-0.14
195506,-0.13
195507,-0.13
195508,-0.11
195509,-0.1
195510,-0.1
195511,-0.11
195512,-0.12
195601,-0.08
195602,-0.12
195603,-0.13
195604,-0.16
195605,-0.18
195606,-0.17
195607,-0.16
195608,-0.17
195609,-0.18
195610,-0.18
195611,-0.18
195612,-0.17
195701,-0.04
195702,-0.06
195703,-0.06
195704,-0.04
195705,-0.01
195706,0.02
195707,0.03
195708,0.04
195709,0.05
195710,0.05
195711,0.05
195712,0.06
195801,0.36
195802,0.28
195803,0.23
195804,0.19
195805,0.17
195806,0.15
195807,0.14
195808,0.13
195809,0.11
195810,0.1
195811,0.09
195812,0.09
195901,0.12
195902,0.11
195903,0.14
195904,0.14
195905,0.13
195906,0.13
195907,0.12
195908,0.11
195909,0.1
195910,0.09
195911,0.08
195912,0.07
196001,0.04
196002,0.1
196003,-0.01
196004,-0.04
196005,-0.04
196006,-0.04
196007,-0.03
196008,-0.02
196009,-0.01
196010,-0.01
196011,-0.02
196012,0.01
196101,0.11
196102,0.14
196103,0.13
196104,0.13
196105,0.13
196106,0.13
196107,0.12
196108,0.12
196109,0.11
196110,0.1
196111,0.09
196112,0.07
196201,0.06
196202,0.11
196203,0.13
196204,0.11
196205,0.08
196206,0.07
196207,0.06
196208,0.06
196209,0.05
196210,0.05
196211,0.06
196212,0.05
196301,0.02
196302,0.11
196303,0.04
196304,0.02
196305,0.01
196306,0.01
196307,0.02
196308,0.04
196309,0.06
196310,0.06
196311,0.07
196312,0.07
196401,-0.05
196402,-0.08
196403,-0.13
196404,-0.16
196405,-0.17
196406,-0.15
196407,-0.13
196408,-0.13
196409,-0.14
196410,-0.16
196411,-0.16
196412,-0.17
196501,-0.07
196502,-0.12
196503,-0.12
196504,-0.13
196505,-0.13
196506,-0.12
196507,-0.11
196508,-0.1
196509,-0.1
196510,-0.09
196511,-0.08
196512,-0.08
196601,-0.15
196602,-0.09
196603,-0.06
196604,-0.07
196605,-0.07
196606,-0.05
196607,-0.03
196608,-0.03
196609,-0.02
196610,-0.03
196611,-0.03
196612,-0.03
196701,-0.09
196702,-0.14
196703,-0.08
196704,-0.07
196705,-0.02
196706,-0.01
196707,-0.01
196708,0
196709,0
196710,0.01
196711,0
196712,0
196801,-0.22
196802,-0.17
196803,-0.06
196804,-0.06
196805,-0.06
196806,-0.05
196807,-0.06
196808,-0.05
196809,-0.06
196810,-0.05
196811,-0.05
196812,-0.06
196901,-0.06
196902,-0.06
196903,-0.02
196904,0.03
196905,0.07
196906,0.07
196907,0.07
196908,0.07
196909,0.07
196910,0.08
196911,0.08
196912,0.1
197001,0.17
197002,0.19
197003,0.16
197004,0.14
197005,0.12
197006,0.1
197007,0.09
197008,0.08
197009,0.08
197010,0.07
197011,0.07
197012,0.05
197101,-0.04
197102,-0.09
197103,-0.1
197104,-0.09
197105,-0.07
197106,-0.08
197107,-0.07
197108,-0.06
197109,-0.05
197110,-0.05
197111,-0.06
197112,-0.06
197201,-0.19
197202,-0.16
197203,-0.08
197204,-0.05
197205,-0.04
197206,-0.01
197207,0
197208,0.03
197209,0.03
197210,0.04
197211,0.04
197212,0.06
197301,0.31
197302,0.32
197303,0.31
197304,0.31
197305,0.31
197306,0.3
197307,0.28
197308,0.26
197309,0.24
